age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit,Risk_Status
46,management,divorced,secondary,no,16,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0.0,unknown,no,High Risk
30,technician,married,secondary,no,152,yes,yes,unknown,5.0,may,213.0,2.0,-1.0,0.0,unknown,no,High Risk
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5.0,may,173.0,1.0,-1.0,0.0,unknown,no,High Risk
36,management,married,tertiary,no,101,yes,yes,unknown,5.0,may,426.0,1.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5.0,may,257.0,1.0,-1.0,0.0,unknown,no,High Risk
34,admin.,married,secondary,no,61,no,yes,unknown,5.0,may,21.0,1.0,-1.0,0.0,unknown,no,High Risk
56,self-employed,married,primary,no,-34,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0.0,unknown,no,High Risk
33,management,single,tertiary,no,-67,yes,no,unknown,5.0,may,364.0,1.0,-1.0,0.0,unknown,no,High Risk
43,services,married,secondary,no,41,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,no,High Risk
52,technician,married,tertiary,no,7,no,yes,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,no,High Risk
29,admin.,single,secondary,no,818,yes,yes,unknown,5.0,may,61.0,1.0,-1.0,0.0,unknown,no,High Risk
34,services,married,secondary,no,-16,yes,yes,unknown,5.0,may,78.0,1.0,-1.0,0.0,unknown,no,High Risk
55,admin.,single,secondary,no,802,yes,yes,unknown,5.0,may,100.0,2.0,-1.0,0.0,unknown,no,High Risk
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5.0,may,163.0,2.0,-1.0,0.0,unknown,no,High Risk
40,management,married,tertiary,no,-4,yes,no,unknown,5.0,may,2033.0,1.0,-1.0,0.0,unknown,no,High Risk
44,services,married,secondary,no,1357,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0.0,unknown,no,High Risk
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5.0,may,346.0,1.0,-1.0,0.0,unknown,no,High Risk
50,technician,divorced,tertiary,no,173,no,yes,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no,High Risk
41,management,married,tertiary,no,176,yes,yes,unknown,5.0,may,42.0,1.0,-1.0,0.0,unknown,no,High Risk
38,blue-collar,married,secondary,no,-390,yes,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown,no,High Risk
54,blue-collar,married,primary,no,-41,yes,no,unknown,5.0,may,288.0,1.0,-1.0,0.0,unknown,no,High Risk
39,management,married,tertiary,no,378,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,no,High Risk
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5.0,may,300.0,1.0,-1.0,0.0,unknown,no,High Risk
55,retired,married,secondary,no,0,no,yes,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,no,High Risk
47,blue-collar,married,primary,no,-12,yes,no,unknown,5.0,may,18.0,1.0,-1.0,0.0,unknown,no,High Risk
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5.0,may,389.0,1.0,-1.0,0.0,unknown,no,High Risk
46,technician,married,secondary,no,349,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0.0,unknown,no,High Risk
53,blue-collar,married,secondary,no,0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no,High Risk
36,services,married,secondary,no,143,yes,yes,unknown,5.0,may,350.0,1.0,-1.0,0.0,unknown,no,High Risk
39,admin.,divorced,secondary,no,-349,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0.0,unknown,no,High Risk
41,blue-collar,married,primary,no,183,yes,yes,unknown,5.0,may,110.0,2.0,-1.0,0.0,unknown,no,High Risk
42,management,single,tertiary,no,0,yes,yes,unknown,5.0,may,562.0,2.0,-1.0,0.0,unknown,yes,High Risk
39,services,divorced,secondary,no,-185,yes,no,unknown,5.0,may,189.0,3.0,-1.0,0.0,unknown,no,High Risk
41,admin.,married,secondary,no,-62,yes,yes,unknown,5.0,may,55.0,2.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,secondary,no,129,yes,yes,unknown,5.0,may,189.0,2.0,-1.0,0.0,unknown,no,High Risk
55,services,divorced,primary,no,96,yes,yes,unknown,5.0,may,311.0,2.0,-1.0,0.0,unknown,no,High Risk
37,services,divorced,secondary,no,398,yes,yes,unknown,5.0,may,214.0,2.0,-1.0,0.0,unknown,no,High Risk
46,admin.,married,secondary,no,-358,yes,no,unknown,5.0,may,358.0,2.0,-1.0,0.0,unknown,no,High Risk
36,blue-collar,married,secondary,no,539,yes,yes,unknown,5.0,may,453.0,2.0,-1.0,0.0,unknown,no,High Risk
30,blue-collar,single,secondary,no,-457,yes,no,unknown,5.0,may,143.0,2.0,-1.0,0.0,unknown,no,High Risk
53,technician,married,secondary,no,56,yes,yes,unknown,5.0,may,152.0,2.0,-1.0,0.0,unknown,no,High Risk
51,admin.,single,secondary,yes,-2,no,no,unknown,5.0,may,402.0,3.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,divorced,secondary,no,-333,yes,no,unknown,5.0,may,183.0,2.0,-1.0,0.0,unknown,no,High Risk
39,blue-collar,married,primary,no,-100,yes,no,unknown,5.0,may,680.0,2.0,-1.0,0.0,unknown,no,High Risk
48,admin.,married,secondary,no,126,yes,yes,unknown,6.0,may,379.0,2.0,-1.0,0.0,unknown,no,High Risk
38,admin.,married,secondary,no,46,yes,yes,unknown,6.0,may,195.0,1.0,-1.0,0.0,unknown,no,High Risk
49,services,married,secondary,no,245,yes,yes,unknown,6.0,may,318.0,1.0,-1.0,0.0,unknown,no,High Risk
58,services,married,secondary,no,1667,yes,yes,unknown,6.0,may,85.0,1.0,-1.0,0.0,unknown,no,High Risk
56,management,married,tertiary,no,830,yes,yes,unknown,6.0,may,1201.0,1.0,-1.0,0.0,unknown,yes,High Risk
32,technician,single,secondary,no,0,yes,yes,unknown,6.0,may,135.0,3.0,-1.0,0.0,unknown,no,High Risk
34,blue-collar,married,secondary,no,283,no,yes,unknown,6.0,may,199.0,1.0,-1.0,0.0,unknown,no,High Risk
48,technician,married,secondary,no,141,yes,yes,unknown,6.0,may,424.0,1.0,-1.0,0.0,unknown,no,High Risk
39,admin.,single,secondary,no,-25,yes,no,unknown,6.0,may,576.0,1.0,-1.0,0.0,unknown,no,High Risk
52,blue-collar,divorced,primary,no,55,yes,yes,unknown,6.0,may,186.0,1.0,-1.0,0.0,unknown,no,High Risk
33,technician,married,secondary,yes,72,yes,no,unknown,6.0,may,623.0,1.0,-1.0,0.0,unknown,no,High Risk
50,self-employed,married,unknown,no,-84,yes,no,unknown,6.0,may,101.0,1.0,-1.0,0.0,unknown,no,High Risk
37,management,married,tertiary,no,231,yes,yes,unknown,6.0,may,451.0,2.0,-1.0,0.0,unknown,no,High Risk
34,blue-collar,married,secondary,no,270,yes,yes,unknown,6.0,may,159.0,1.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,secondary,no,274,yes,yes,unknown,6.0,may,409.0,1.0,-1.0,0.0,unknown,no,High Risk
40,admin.,single,secondary,no,-109,yes,yes,unknown,6.0,may,170.0,1.0,-1.0,0.0,unknown,no,High Risk
33,blue-collar,single,secondary,yes,-60,no,no,unknown,6.0,may,243.0,1.0,-1.0,0.0,unknown,no,High Risk
58,blue-collar,divorced,secondary,no,-11,no,no,unknown,6.0,may,112.0,1.0,-1.0,0.0,unknown,no,High Risk
43,blue-collar,married,secondary,no,-509,yes,no,unknown,6.0,may,124.0,1.0,-1.0,0.0,unknown,no,High Risk
57,retired,single,secondary,no,1640,no,yes,unknown,6.0,may,204.0,4.0,-1.0,0.0,unknown,no,High Risk
41,technician,married,secondary,no,767,yes,yes,unknown,6.0,may,204.0,1.0,-1.0,0.0,unknown,no,High Risk
43,blue-collar,divorced,secondary,no,110,yes,yes,unknown,6.0,may,448.0,1.0,-1.0,0.0,unknown,no,High Risk
59,management,divorced,tertiary,no,-76,yes,yes,unknown,6.0,may,264.0,1.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,primary,no,-66,yes,no,unknown,6.0,may,288.0,1.0,-1.0,0.0,unknown,no,High Risk
30,blue-collar,divorced,secondary,no,-209,yes,no,unknown,6.0,may,188.0,2.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,secondary,no,-99,yes,no,unknown,6.0,may,111.0,2.0,-1.0,0.0,unknown,no,High Risk
46,admin.,married,primary,no,276,yes,yes,unknown,6.0,may,157.0,2.0,-1.0,0.0,unknown,no,High Risk
32,technician,single,unknown,no,-170,no,no,unknown,6.0,may,46.0,1.0,-1.0,0.0,unknown,no,High Risk
37,management,single,tertiary,no,230,yes,yes,unknown,6.0,may,374.0,1.0,-1.0,0.0,unknown,no,High Risk
57,retired,divorced,secondary,no,-331,yes,no,unknown,6.0,may,531.0,1.0,-1.0,0.0,unknown,no,High Risk
60,retired,married,secondary,yes,15,no,no,unknown,6.0,may,80.0,1.0,-1.0,0.0,unknown,no,High Risk
41,blue-collar,married,primary,no,0,yes,yes,unknown,6.0,may,238.0,1.0,-1.0,0.0,unknown,no,High Risk
49,entrepreneur,married,secondary,no,167,yes,yes,unknown,6.0,may,198.0,3.0,-1.0,0.0,unknown,no,High Risk
44,admin.,married,unknown,no,40,no,yes,unknown,6.0,may,160.0,2.0,-1.0,0.0,unknown,no,High Risk
31,technician,married,secondary,no,17,yes,yes,unknown,6.0,may,120.0,1.0,-1.0,0.0,unknown,no,High Risk
30,admin.,divorced,secondary,no,83,yes,yes,unknown,6.0,may,310.0,1.0,-1.0,0.0,unknown,no,High Risk
45,blue-collar,married,primary,no,-66,yes,no,unknown,6.0,may,263.0,2.0,-1.0,0.0,unknown,no,High Risk
34,blue-collar,married,primary,no,-144,yes,no,unknown,6.0,may,79.0,2.0,-1.0,0.0,unknown,no,High Risk
42,services,divorced,secondary,no,372,yes,yes,unknown,6.0,may,121.0,2.0,-1.0,0.0,unknown,no,High Risk
33,blue-collar,married,secondary,no,-10,yes,no,unknown,6.0,may,123.0,1.0,-1.0,0.0,unknown,no,High Risk
36,admin.,married,secondary,no,-106,yes,no,unknown,6.0,may,130.0,2.0,-1.0,0.0,unknown,no,High Risk
35,entrepreneur,married,secondary,yes,204,yes,no,unknown,6.0,may,424.0,2.0,-1.0,0.0,unknown,no,High Risk
59,services,divorced,secondary,no,0,yes,yes,unknown,6.0,may,97.0,1.0,-1.0,0.0,unknown,no,High Risk
57,blue-collar,married,primary,no,5431,yes,yes,unknown,6.0,may,383.0,1.0,-1.0,0.0,unknown,no,High Risk
46,unemployed,married,secondary,no,-125,yes,no,unknown,6.0,may,23.0,1.0,-1.0,0.0,unknown,no,High Risk
41,blue-collar,single,primary,yes,-137,yes,yes,unknown,6.0,may,189.0,1.0,-1.0,0.0,unknown,no,High Risk
61,retired,married,secondary,no,195,yes,yes,unknown,6.0,may,179.0,1.0,-1.0,0.0,unknown,no,High Risk
39,blue-collar,divorced,primary,no,190,yes,yes,unknown,6.0,may,96.0,2.0,-1.0,0.0,unknown,no,High Risk
37,blue-collar,married,primary,no,-325,yes,yes,unknown,6.0,may,112.0,2.0,-1.0,0.0,unknown,no,High Risk
36,technician,single,secondary,no,-15,yes,no,unknown,6.0,may,341.0,3.0,-1.0,0.0,unknown,no,High Risk
48,retired,married,secondary,no,74,no,yes,unknown,6.0,may,315.0,1.0,-1.0,0.0,unknown,no,High Risk
54,services,married,secondary,yes,0,yes,no,unknown,6.0,may,138.0,3.0,-1.0,0.0,unknown,no,High Risk
37,services,single,unknown,no,-118,yes,no,unknown,6.0,may,147.0,2.0,-1.0,0.0,unknown,no,High Risk
56,blue-collar,married,primary,no,5,yes,yes,unknown,6.0,may,407.0,2.0,-1.0,0.0,unknown,no,High Risk
51,blue-collar,married,secondary,no,50,yes,yes,unknown,6.0,may,121.0,1.0,-1.0,0.0,unknown,no,High Risk
39,blue-collar,married,secondary,no,285,yes,yes,unknown,6.0,may,209.0,1.0,-1.0,0.0,unknown,no,High Risk
51,blue-collar,married,primary,no,653,yes,yes,unknown,6.0,may,208.0,1.0,-1.0,0.0,unknown,no,High Risk
32,services,married,secondary,no,243,yes,yes,unknown,6.0,may,144.0,1.0,-1.0,0.0,unknown,no,High Risk
31,blue-collar,single,tertiary,no,60,yes,yes,unknown,6.0,may,389.0,1.0,-1.0,0.0,unknown,no,High Risk
40,technician,single,unknown,no,-5,yes,no,unknown,6.0,may,78.0,2.0,-1.0,0.0,unknown,no,High Risk
33,technician,divorced,secondary,no,7,yes,yes,unknown,6.0,may,87.0,1.0,-1.0,0.0,unknown,no,High Risk
59,retired,married,primary,no,-119,yes,no,unknown,6.0,may,289.0,1.0,-1.0,0.0,unknown,no,High Risk
32,technician,married,secondary,no,90,yes,yes,unknown,6.0,may,57.0,2.0,-1.0,0.0,unknown,no,High Risk
52,entrepreneur,married,tertiary,no,-184,yes,yes,unknown,6.0,may,392.0,2.0,-1.0,0.0,unknown,no,High Risk
52,blue-collar,divorced,primary,yes,-183,yes,no,unknown,6.0,may,145.0,1.0,-1.0,0.0,unknown,no,High Risk
35,admin.,married,secondary,no,69,yes,yes,unknown,6.0,may,235.0,2.0,-1.0,0.0,unknown,no,High Risk
37,technician,married,secondary,no,123,yes,yes,unknown,6.0,may,530.0,2.0,-1.0,0.0,unknown,no,High Risk
41,technician,married,secondary,no,-366,yes,yes,unknown,6.0,may,29.0,3.0,-1.0,0.0,unknown,no,High Risk
33,blue-collar,married,secondary,no,-349,yes,no,unknown,6.0,may,191.0,1.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,primary,no,-322,yes,yes,unknown,6.0,may,144.0,1.0,-1.0,0.0,unknown,no,High Risk
29,admin.,married,secondary,no,-150,yes,no,unknown,6.0,may,328.0,1.0,-1.0,0.0,unknown,no,High Risk
31,management,single,tertiary,no,-173,yes,no,unknown,6.0,may,396.0,2.0,-1.0,0.0,unknown,no,High Risk
37,blue-collar,married,primary,no,215,yes,yes,unknown,6.0,may,308.0,3.0,-1.0,0.0,unknown,no,High Risk
35,technician,married,secondary,no,-131,yes,no,unknown,6.0,may,467.0,2.0,-1.0,0.0,unknown,no,High Risk
29,admin.,married,secondary,no,182,yes,yes,unknown,6.0,may,477.0,1.0,-1.0,0.0,unknown,no,High Risk
53,admin.,married,secondary,no,244,yes,yes,unknown,6.0,may,197.0,2.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,primary,yes,0,yes,no,unknown,6.0,may,64.0,2.0,-1.0,0.0,unknown,no,High Risk
36,technician,married,secondary,no,368,yes,yes,unknown,6.0,may,1597.0,2.0,-1.0,0.0,unknown,yes,High Risk
30,technician,single,unknown,no,-48,yes,no,unknown,6.0,may,152.0,2.0,-1.0,0.0,unknown,no,High Risk
24,services,single,secondary,no,77,yes,yes,unknown,6.0,may,390.0,2.0,-1.0,0.0,unknown,no,High Risk
43,admin.,single,secondary,no,-497,yes,no,unknown,6.0,may,234.0,2.0,-1.0,0.0,unknown,no,High Risk
35,technician,single,tertiary,no,226,yes,yes,unknown,6.0,may,283.0,3.0,-1.0,0.0,unknown,no,High Risk
31,admin.,married,secondary,no,0,yes,yes,unknown,6.0,may,144.0,2.0,-1.0,0.0,unknown,no,High Risk
35,blue-collar,single,secondary,no,376,yes,yes,unknown,6.0,may,207.0,3.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,primary,no,-7,yes,no,unknown,6.0,may,410.0,2.0,-1.0,0.0,unknown,no,High Risk
37,admin.,single,secondary,no,569,yes,yes,unknown,6.0,may,126.0,2.0,-1.0,0.0,unknown,no,High Risk
59,services,married,secondary,no,307,yes,yes,unknown,6.0,may,250.0,7.0,-1.0,0.0,unknown,no,High Risk
37,technician,married,secondary,no,-421,yes,no,unknown,6.0,may,183.0,5.0,-1.0,0.0,unknown,no,High Risk
42,technician,married,tertiary,no,239,yes,yes,unknown,6.0,may,191.0,3.0,-1.0,0.0,unknown,no,High Risk
46,technician,married,secondary,yes,289,no,no,unknown,7.0,may,51.0,3.0,-1.0,0.0,unknown,no,High Risk
43,blue-collar,married,primary,no,-454,yes,no,unknown,7.0,may,322.0,2.0,-1.0,0.0,unknown,no,High Risk
51,services,divorced,secondary,no,-69,yes,no,unknown,7.0,may,216.0,3.0,-1.0,0.0,unknown,no,High Risk
32,technician,divorced,secondary,no,210,yes,yes,unknown,7.0,may,188.0,2.0,-1.0,0.0,unknown,no,High Risk
30,blue-collar,divorced,secondary,no,251,yes,yes,unknown,7.0,may,120.0,2.0,-1.0,0.0,unknown,no,High Risk
35,blue-collar,married,primary,yes,0,yes,no,unknown,7.0,may,292.0,1.0,-1.0,0.0,unknown,no,High Risk
36,blue-collar,married,secondary,no,-251,yes,no,unknown,7.0,may,162.0,1.0,-1.0,0.0,unknown,no,High Risk
45,self-employed,divorced,secondary,no,-139,yes,no,unknown,7.0,may,152.0,3.0,-1.0,0.0,unknown,no,High Risk
58,services,divorced,secondary,no,1109,yes,yes,unknown,7.0,may,180.0,1.0,-1.0,0.0,unknown,no,High Risk
36,services,divorced,secondary,no,-290,yes,yes,unknown,7.0,may,128.0,1.0,-1.0,0.0,unknown,no,High Risk
35,blue-collar,married,secondary,no,527,yes,yes,unknown,7.0,may,143.0,1.0,-1.0,0.0,unknown,no,High Risk
44,technician,divorced,secondary,no,-329,yes,no,unknown,7.0,may,171.0,1.0,-1.0,0.0,unknown,no,High Risk
30,services,single,secondary,no,-174,yes,no,unknown,7.0,may,113.0,1.0,-1.0,0.0,unknown,no,High Risk
35,blue-collar,single,unknown,yes,-532,yes,no,unknown,7.0,may,149.0,1.0,-1.0,0.0,unknown,no,High Risk
37,services,single,secondary,no,-196,yes,no,unknown,7.0,may,207.0,1.0,-1.0,0.0,unknown,no,High Risk
42,services,married,secondary,no,-246,yes,no,unknown,7.0,may,149.0,1.0,-1.0,0.0,unknown,no,High Risk
56,blue-collar,married,secondary,no,-203,yes,no,unknown,7.0,may,139.0,1.0,-1.0,0.0,unknown,no,High Risk
37,admin.,single,secondary,no,245,yes,yes,unknown,7.0,may,732.0,2.0,-1.0,0.0,unknown,yes,High Risk
54,management,married,tertiary,yes,-248,yes,yes,unknown,7.0,may,112.0,1.0,-1.0,0.0,unknown,no,High Risk
33,services,divorced,secondary,no,392,yes,yes,unknown,7.0,may,254.0,1.0,-1.0,0.0,unknown,no,High Risk
33,housemaid,married,tertiary,no,98,yes,yes,unknown,7.0,may,109.0,1.0,-1.0,0.0,unknown,no,High Risk
37,management,single,tertiary,yes,45,yes,no,unknown,7.0,may,204.0,1.0,-1.0,0.0,unknown,no,High Risk
47,management,divorced,tertiary,no,447,no,yes,unknown,7.0,may,126.0,1.0,-1.0,0.0,unknown,no,High Risk
53,services,divorced,primary,no,-291,yes,yes,unknown,7.0,may,591.0,1.0,-1.0,0.0,unknown,yes,High Risk
31,services,married,tertiary,no,309,yes,yes,unknown,7.0,may,294.0,1.0,-1.0,0.0,unknown,no,High Risk
29,entrepreneur,married,primary,no,56,yes,yes,unknown,7.0,may,336.0,1.0,-1.0,0.0,unknown,no,High Risk
59,blue-collar,married,primary,no,229,yes,yes,unknown,7.0,may,19.0,1.0,-1.0,0.0,unknown,no,High Risk
40,admin.,married,secondary,no,2100,yes,yes,unknown,7.0,may,164.0,2.0,-1.0,0.0,unknown,no,High Risk
32,services,married,secondary,no,0,yes,yes,unknown,7.0,may,255.0,2.0,-1.0,0.0,unknown,no,High Risk
32,blue-collar,married,secondary,no,-205,yes,no,unknown,7.0,may,388.0,1.0,-1.0,0.0,unknown,no,High Risk
52,blue-collar,married,secondary,no,-98,yes,no,unknown,7.0,may,423.0,1.0,-1.0,0.0,unknown,no,High Risk
33,admin.,married,secondary,no,44,yes,yes,unknown,7.0,may,231.0,1.0,-1.0,0.0,unknown,no,High Risk
55,retired,married,primary,no,-90,yes,yes,unknown,7.0,may,634.0,2.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,secondary,yes,-94,yes,yes,unknown,7.0,may,227.0,1.0,-1.0,0.0,unknown,no,High Risk
39,blue-collar,married,secondary,yes,-345,yes,no,unknown,7.0,may,69.0,1.0,-1.0,0.0,unknown,no,High Risk
54,blue-collar,married,secondary,no,-932,yes,no,unknown,7.0,may,799.0,1.0,-1.0,0.0,unknown,no,High Risk
27,management,single,tertiary,no,134,yes,yes,unknown,7.0,may,68.0,3.0,-1.0,0.0,unknown,no,High Risk
47,blue-collar,married,secondary,yes,-5,yes,no,unknown,7.0,may,444.0,1.0,-1.0,0.0,unknown,no,High Risk
31,services,single,secondary,no,-45,no,no,unknown,7.0,may,246.0,2.0,-1.0,0.0,unknown,no,High Risk
53,blue-collar,single,secondary,no,156,yes,yes,unknown,7.0,may,259.0,4.0,-1.0,0.0,unknown,no,High Risk
33,admin.,married,secondary,no,-6,yes,no,unknown,7.0,may,566.0,2.0,-1.0,0.0,unknown,no,High Risk
29,management,married,secondary,no,147,yes,yes,unknown,7.0,may,376.0,2.0,-1.0,0.0,unknown,no,High Risk
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7.0,may,866.0,2.0,-1.0,0.0,unknown,no,High Risk
38,services,married,secondary,no,-32,yes,no,unknown,7.0,may,154.0,2.0,-1.0,0.0,unknown,no,High Risk
48,services,divorced,secondary,no,852,yes,yes,unknown,7.0,may,202.0,1.0,-1.0,0.0,unknown,no,High Risk
31,unemployed,married,secondary,no,-825,yes,no,unknown,7.0,may,179.0,2.0,-1.0,0.0,unknown,no,High Risk
38,admin.,single,secondary,no,137,yes,yes,unknown,7.0,may,125.0,2.0,-1.0,0.0,unknown,no,High Risk
60,retired,married,secondary,no,42,yes,yes,unknown,7.0,may,386.0,2.0,-1.0,0.0,unknown,no,High Risk
42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7.0,may,650.0,1.0,-1.0,0.0,unknown,no,High Risk
38,blue-collar,single,secondary,no,-1,yes,no,unknown,7.0,may,72.0,1.0,-1.0,0.0,unknown,no,High Risk
29,blue-collar,married,secondary,no,313,yes,yes,unknown,7.0,may,144.0,1.0,-1.0,0.0,unknown,no,High Risk
44,services,married,primary,no,-79,yes,no,unknown,7.0,may,179.0,2.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,unknown,no,-4,yes,no,unknown,7.0,may,311.0,1.0,-1.0,0.0,unknown,no,High Risk
34,technician,divorced,secondary,no,1107,yes,yes,unknown,7.0,may,345.0,1.0,-1.0,0.0,unknown,no,High Risk
48,technician,married,secondary,no,-500,yes,no,unknown,7.0,may,78.0,5.0,-1.0,0.0,unknown,no,High Risk
43,technician,divorced,tertiary,no,1026,yes,yes,unknown,7.0,may,224.0,5.0,-1.0,0.0,unknown,no,High Risk
39,blue-collar,married,secondary,no,356,yes,yes,unknown,7.0,may,607.0,1.0,-1.0,0.0,unknown,no,High Risk
41,blue-collar,married,secondary,no,108,yes,yes,unknown,7.0,may,203.0,1.0,-1.0,0.0,unknown,no,High Risk
44,services,divorced,secondary,no,7,yes,yes,unknown,7.0,may,238.0,3.0,-1.0,0.0,unknown,no,High Risk
37,technician,married,tertiary,no,16,yes,yes,unknown,7.0,may,153.0,3.0,-1.0,0.0,unknown,no,High Risk
29,blue-collar,single,primary,no,365,yes,yes,unknown,7.0,may,245.0,2.0,-1.0,0.0,unknown,no,High Risk
56,blue-collar,married,primary,no,862,yes,yes,unknown,7.0,may,198.0,2.0,-1.0,0.0,unknown,no,High Risk
40,blue-collar,married,secondary,no,4,yes,yes,unknown,7.0,may,263.0,1.0,-1.0,0.0,unknown,no,High Risk
30,technician,single,tertiary,no,60,yes,yes,unknown,7.0,may,306.0,5.0,-1.0,0.0,unknown,no,High Risk
52,technician,single,secondary,no,-181,yes,no,unknown,7.0,may,94.0,2.0,-1.0,0.0,unknown,no,High Risk
41,blue-collar,married,secondary,no,-15,yes,no,unknown,7.0,may,169.0,2.0,-1.0,0.0,unknown,no,High Risk
36,blue-collar,married,primary,no,-20,yes,no,unknown,7.0,may,353.0,3.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,primary,no,-171,yes,no,unknown,7.0,may,441.0,2.0,-1.0,0.0,unknown,no,High Risk
